Institution,State,No. of visas revoked,Source link
Auburn University,Alabama,15,"<a href=""https://www.wtvm.com/2025/04/17/international-students-attending-auburn-university-have-visas-revoked/"">Click here</a><br>"
Spring Hill College,Alabama,1,"<a href=""https://www.lagniappemobile.com/news/shc-international-student-has-visa-revoked/article_08d374a4-5969-413b-851d-45d817db134c.html"">Click here</a>"
Troy University,Alabama,2,"<a href=""https://1819news.com/news/item/dhs-revokes-visas-of-15-auburn-university-students-2-troy-university-students"">Click here</a><br>"
University  of Alabama,Alabama,1,"<a  href=""https://www.alreporter.com/2025/03/28/university-of-alabama-student-detained-by-ice-as-state-department-revokes-visas/"">Click  here</a>"
"University of Alaska,  Anchorage",Alaska,4,"<a  href=""https://www.adn.com/alaska-news/2025/04/14/4-international-students-in-alaska-lose-visas-without-prior-warning-amid-trump-administration-crackdown/"">Click  here</a>"
Arizona State University,Arizona,100,"<a  href=""https://www.abc15.com/news/state/more-than-100-asu-student-visas-revoked-according-to-union-handful-at-uarizona"">Click  here</a><br>"
Pima Community College,Arizona,1,"<a  href=""https://www.kvoa.com/news/international-students-visa-record-terminated-in-tucson/article_ec5124bc-856e-4e2e-bf8f-6639773d8178.html"">Click  here</a><br>"
University of Arizona,Arizona,“close to a dozen”,"<a  href=""https://www.abc15.com/news/state/more-than-100-asu-student-visas-revoked-according-to-union-handful-at-uarizona"">Click  here</a><br>"
University of Arkansas,Arkansas,5,"<a  href=""https://www.nwahomepage.com/university-of-arkansas-news/5-university-of-arkansas-students-visas-terminated-by-department-of-homeland-security/amp/"">Click  here</a>"
"California  Polytechnic State University, San Luis Obispo",California,4,"<a  href=""https://mustangnews.net/cal-poly-international-students-visa-revoked-amid-national-crackdown/"">Click  here</a>"
"California  State University, Sacramento",California,unknown,"<a  href=""https://statehornet.com/2025/04/csu-international-students-visas-revoked-trump-administration-sac-state-f1-j1/"">Click  here</a>"
"California State University,  Fullerton",California,8,"<a href=""https://dailytitan.com/news/academic-senate-speaks-on-csuf-visa-revocations/article_638ee545-5669-4c79-963c-718ceeab60ff.html"">Click here</a><br>"
